path,label
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70141_1_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70192_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70119_5_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70082_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70142_1_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70248_5_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70123_3_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70291_3_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70157_1_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70168_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70142_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70105_3_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70180_5_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70222_3_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70257_3_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70055_3_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70252_1_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70252_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70260_5_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70047_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70286_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70270_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70312_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70099_1_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70225_1_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70041_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70177_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70098_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70197_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70011_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70292_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70143_1_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70102_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70250_3_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70257_2_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70311_4_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70070_5_abusive.npy,abusive
/root/autodl-tmp/VadCLIP-main/clip_features/abusive/video70260_1_abusive.npy,abusive
